name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
Ink 48 Hotel,223,223,False,7.5,Good,"2,559",4.0,False,"Hell's Kitchen, New York",1.2,,1 extra-large double bed,King Studio with City View,False,False,True,13,1,2025-02-03
TownePlace Suites by Marriott New York Manhattan/Chelsea,179,179,False,8.2,Very good,"7,530",4.0,False,"Chelsea, New York",2.5,9.4,,King Studio with Kitchenette,True,False,True,13,1,2025-02-03
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,239,239,False,7.9,Good,"4,898",4.0,False,"Hell's Kitchen, New York",2.1,9.5,1 extra-large double bed,King Room,True,True,False,13,1,2025-02-03
Hotel Belleclaire Central Park,224,224,False,8.1,Very good,"5,083",4.0,False,"Upper West Side, New York",1.6,9.3,1 extra-large double bed,Premium 1 King Bed,True,True,True,13,1,2025-02-03
Hyatt Union Square New York,261,261,False,7.5,Good,279,4.0,False,"Union Square, New York",3.9,,1 extra-large double bed,King Room with Courtyard View,False,False,True,13,1,2025-02-03
Courtyard New York Manhattan/Times Square,286,286,False,8.1,Very good,"3,033",3.0,False,"Manhattan, New York",1.6,9.6,1 extra-large double bed,King Room with Adapted Tub - Mobility and Hearing Accessible,False,False,True,13,1,2025-02-03
Pod 39,174,174,False,8.3,Very good,"12,814",3.0,False,"Murray Hill, New York",2.1,9.5,1 double bed,Double Room,False,False,True,13,1,2025-02-03
Conrad New York Downtown,433,433,False,8.9,Fabulous,769,5.0,False,"Battery Park, New York",6.6,9.3,Private suite,Deluxe King Suite with Sofa Bed,False,False,True,13,1,2025-02-03
MOXY NYC Times Square,233,233,False,8.1,Very good,"5,951",4.0,False,"Manhattan, New York",1.9,9.4,1 large double bed,Queen Room,True,False,True,13,1,2025-02-03
"EVEN Hotel New York - Times Square South, an IHG Hotel",222,222,False,8.4,Very good,541,4.0,False,"Hell's Kitchen, New York",1.9,,1 extra-large double bed,King Room - Hearing Accessible/Non-Smoking,False,False,True,13,1,2025-02-03
SpringHill Suites by Marriott New York Midtown Manhattan/Park Ave,178,178,False,8.0,Very good,314,3.0,False,"Flatiron District, New York",3.1,,1 extra-large double bed,"Studio, 1 King",True,False,True,13,1,2025-02-03
"Club Quarters Hotel Grand Central, New York",217,217,False,8.3,Very good,"4,792",4.0,False,"Midtown East, New York",1.8,9.4,1 large double bed,Small Queen Room,False,False,True,13,1,2025-02-03
The Shelburne Sonesta New York,206,206,False,8.3,Very good,"2,251",4.0,False,"Murray Hill, New York",2.2,,1 large double bed,Queen Room,False,True,False,13,1,2025-02-03
Mint House at 70 Pine,257,257,False,9.2,Superb,978,4.0,False,"Manhattan, New York",7.2,,1 large double bed,Queen Room,False,False,True,13,1,2025-02-03
Courtyard by Marriott New York World Trade Center Area,149,149,False,8.3,Very good,"2,239",3.0,False,"Manhattan, New York",7.2,,1 extra-large double bed,King Room - Hearing Accessible,False,False,True,13,1,2025-02-03
Hilton Garden Inn New York Manhattan Midtown East,209,209,False,7.4,Good,"1,364",3.0,False,"Midtown East, New York",1.6,,1 extra-large double bed,King Room,False,False,True,13,1,2025-02-03
The Allen Hotel,207,190,True,7.9,Good,"1,696",4.0,False,"Lower East Side, New York",5.6,,2 double beds,Deluxe Double Room,False,False,True,13,1,2025-02-03
Archer Hotel New York,470,470,False,8.8,Fabulous,"1,025",4.0,False,"Manhattan, New York",,9.5,1 large double bed,Classic Queen Guest Room,False,True,False,13,2,2025-02-03
The Chelsean New York,337,285,True,7.0,Good,"2,730",3.0,False,"Chelsea, New York",,,1 extra-large double bed,"Guest Room, 1 King",False,True,True,13,2,2025-02-03
The Washington by LuxUrban,299,299,False,7.7,Good,"9,443",4.0,False,"Manhattan, New York",,9.4,1 extra-large double bed,King Room - Non-Smoking,False,False,True,13,2,2025-02-03
The Gotham Hotel,418,418,False,8.5,Very good,"1,709",4.0,False,"Midtown East, New York",,9.5,1 extra-large double bed,Metro king,False,False,True,13,2,2025-02-03
Hudson Yard 408,1585,1585,False,2.7,Review score,3,,,"Hudson Yards, New York",,,,Three-Bedroom Apartment,False,False,True,13,2,2025-02-03
"Hotel Indigo NYC Financial District, an IHG Hotel",288,288,False,8.8,Fabulous,"1,542",3.0,False,"Manhattan, New York",,9.5,1 extra-large double bed,Standard King Room,False,False,True,13,2,2025-02-03
Grayson Hotel,523,523,False,8.5,Very good,"1,053",4.0,False,"Manhattan, New York",,9.5,1 extra-large double bed,King Room - High Floor,False,False,True,13,2,2025-02-03
